formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
In8 La2 Ni2,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.3333,2.8333,0.81,0.2674,0.6,0.1795,4.0,1.2472,7.5
In1 Sm3,2,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,3.0,0.61,0.2641,0.3,0.1299,3.0,1.299,12.0
Er1 In3,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,3.0,0.54,0.2338,0.2,0.0866,3.0,1.299,12.0
Gd1 In1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,3.0,0.58,0.29,0.25,0.125,3.0,1.5,10.0
C2 In2 Ti4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.75,1.01,0.4144,0.85,0.3305,3.0,1.0897,11.0
Au3 In3 La3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,3.0,1.44,0.5882,0.6,0.2494,3.0,1.2472,8.0
Eu2 In4 Rh2,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,2.75,2.28,0.8673,0.5,0.1785,3.0,1.299,8.0
Au2 Dy1 In1,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,3.0,1.32,0.5564,0.4,0.1658,3.0,1.0897,10.0
In8 Pt2 Sr2,3,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,2.6667,1.33,0.3917,0.65,0.1967,1.0,0.3727,7.5
Cu3 Er3 In3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.6667,0.66,0.2871,0.4,0.1633,4.0,1.6997,8.0
Ag2 Dy1 In1,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,2.0,0.71,0.2923,0.2,0.075,3.0,1.299,10.0
In3 Pd3 Tb3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.6667,2.2,0.9536,0.35,0.1434,3.0,1.4142,8.0
Ba2 In4,2,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6667,0.89,0.4196,0.6,0.2828,1.0,0.4714,7.0
Ag3 In1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.5,0.15,0.065,0.05,0.0217,0.0,0.0,12.0
In14 Pt6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.7,0.5,0.2291,0.2,0.0917,1.0,0.4583,7.8571428571428568
Cu3 In3 Tb3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.6667,1.9,0.8688,0.4,0.1633,4.0,1.6997,8.0
In3 Mg3 Sm3,3,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,2.6667,0.61,0.2609,0.35,0.1546,5.0,2.0548,8.3333333333333339
In2 Li2 O14 P4,4,0.0,0.0909,0.0,0.6364,0.0,0.0,0.0,0.0,0.0,0.0,-1.4545,2.46,0.85,0.95,0.3478,3.0,0.8907,6.0
As8 In8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.4,0.2,0.4,0.2,1.0,0.5,5.0
In1 N1 Ti3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.4,1.5,0.5835,0.9,0.3203,3.0,0.9798,12.0
Cu4 In1 Tb1,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.6667,2.3333,1.9,0.7005,0.4,0.1528,4.0,1.4625,16.0
C1 In1 La3,3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.6,1.6,1.45,0.5758,1.25,0.4854,6.0,2.4,12.0
Ge4 In2 Nd4,3,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,0.2,0.87,0.3976,0.6,0.2683,4.0,1.833,9.0
Ga2 In2 O6,3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.8059,0.95,0.4118,3.0,1.2649,6.0
Eu2 In8 Pd2,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.1667,2.6667,2.2,0.7114,0.45,0.1346,3.0,1.118,7.5
Au4 Dy4 In2,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,3.0,1.32,0.5917,0.4,0.1789,3.0,1.2,10.0
In4 Mg2 S8,3,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.4951,0.55,0.2644,2.0,0.9035,6.0
Ba8 In16 S32,3,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.6083,1.15,0.4148,3.0,1.1952,4.0
In3 Pr1,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,3.0,0.65,0.2815,0.3,0.1299,3.0,1.299,12.0
I10 In2 Pb4,3,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.25,0.88,0.2949,0.4,0.1694,1.0,0.433,10.0
Br16 In4 K4,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.8302,1.05,0.3899,1.0,0.3727,4.0
Ba4 F2 In2 O6,4,0.0,0.0,0.2857,0.4286,0.1429,0.0,0.0,0.0,0.0,0.0,-0.0,3.09,1.2262,1.65,0.706,4.0,1.8406,5.0
In2 Sc6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,3.0,0.42,0.1819,0.05,0.0217,1.0,0.433,12.0
In2 Se4 Zn1,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.9,0.4045,0.4,0.1761,1.0,0.4518,5.0
In1 Mn1 Ni2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.25,0.36,0.147,0.2,0.082,1.0,0.433,10.0
In1 N1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.63,0.9,0.45,3.0,1.5,5.0
As16 In8 Na24,3,0.0,0.5,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,1.25,0.574,0.65,0.2907,2.0,0.7454,7.0
In3 La3 Pt3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.6667,1.18,0.4836,0.6,0.2494,3.0,1.2472,8.0
In8 Na40 O32,3,0.0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51,1.1859,1.2,0.572,3.0,0.8718,5.0
Eu4 In32 Rh8,3,0.0,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0909,0.1818,2.9091,2.28,0.5731,0.5,0.124,3.0,0.8624,7.8125
Au2 In1 Y1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,3.0,1.32,0.5564,0.45,0.185,1.0,0.5,10.0
Br6 Ca2 In2,3,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,1.96,0.8077,0.65,0.2691,1.0,0.4,7.0
Cu1 In1 O2,3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,1.66,0.8011,0.95,0.4308,3.0,1.299,6.0
In4 Li4 Se8,3,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.6498,0.4,0.1785,3.0,1.0897,4.0
B6 In2 Ni21,3,0.0,0.0,0.0,0.0,0.0,0.0,0.2069,0.0,0.0,0.7241,2.2759,0.26,0.0659,0.7,0.2155,3.0,0.8818,9.0
C1 In1 Tm3,3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,1.6,1.3,0.5101,1.05,0.4074,6.0,2.4,6.0
C2 In2 Nb4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.25,0.95,0.3923,0.85,0.3416,3.0,1.299,11.0
Au2 Ho1 In1,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,3.0,1.31,0.5528,0.4,0.1658,3.0,1.0897,10.0
In1 Li2 Pt1,3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.75,1.3,0.554,0.2,0.0707,4.0,1.7854,10.0
In4 Pt4 Sr4,3,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2.3333,1.33,0.5485,0.65,0.2718,1.0,0.4714,7.0
Cu1 In2 O4,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,1.66,0.8025,0.95,0.4415,3.0,1.3553,7.0
Cu2 In2 Se4,3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.77,0.3575,0.4,0.1658,1.0,0.433,5.0
In6 O12 Re1,3,0.0,0.0,0.0,0.6316,0.0,0.0,0.0,0.0,0.0,0.0526,-0.1053,1.66,0.7929,0.95,0.4465,4.0,1.5308,5.0
In3 Ni2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.6,0.13,0.0637,0.2,0.098,1.0,0.4899,8.3333333333333339
In3 Mg6,2,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333,0.47,0.2216,0.05,0.0236,2.0,0.9428,9.0
Co1 In1 Mn2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.25,0.33,0.1444,0.2,0.075,1.0,0.433,10.0
Cd1 In2 Te4,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.5714,0.0,0.0,0.1429,0.0,0.41,0.1754,0.15,0.0742,0.0,0.0,5.0
In2 Y4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,3.0,0.56,0.264,0.25,0.1179,0.0,0.0,8.0
In2 Nd4,2,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.6667,0.0,3.0,0.64,0.3017,0.3,0.1414,3.0,1.4142,8.0
In4 La2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,3.0,0.68,0.3206,0.4,0.1886,3.0,1.4142,7.0
In1 Zr3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,3.75,0.45,0.1949,0.0,0.0,0.0,0.0,12.0
F16 In4 Li4,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.2472,1.05,0.4723,3.0,1.118,5.0
In2 Pd4 Tb4,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,2.6,2.2,1.0208,0.35,0.1568,3.0,1.4697,10.0
Cl12 In2 Na6,3,0.0,0.3,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.23,1.0154,0.8,0.3677,2.0,0.6,6.0
As6 In4 Na6 O24,4,0.0,0.15,0.0,0.6,0.0,0.0,0.15,0.0,0.0,0.0,-1.2,2.51,0.9611,1.2,0.4731,3.0,1.0428,5.0
In2 Nd4 Pd4,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,2.6,1.06,0.4761,0.45,0.2035,3.0,1.4697,10.0
Ca2 In8 Rh2,3,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,2.8333,1.28,0.3754,0.45,0.1304,1.0,0.3727,8.5
Hg1 In2 Se4,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.1429,-0.1429,0.77,0.3514,0.4,0.1903,2.0,0.7284,5.0
In5 Rb1 S8,3,0.0,0.0714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.5297,1.35,0.3904,2.0,0.9897,5.2000000000000002
In4 Rh4 Yb4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,3.0,2.28,0.9785,0.4,0.1633,3.0,1.4142,8.0
Hg1 In2 Te4,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.5714,0.0,0.0,0.1429,-0.1429,0.32,0.1397,0.15,0.0678,1.0,0.3499,5.0
In1 Pt2 Sc1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.5,0.92,0.3848,0.25,0.1139,2.0,0.8292,10.0
In2 O8 Ta2,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,1.94,0.8524,0.95,0.4252,4.0,1.675,6.0
In2 Pr4,2,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.6667,0.0,3.0,0.65,0.3064,0.3,0.1414,3.0,1.4142,8.0
Ba16 In16 S40,3,0.0,0.0,0.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.69,0.6861,1.15,0.4673,3.0,1.2862,4.0
In2 Ni4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,2.3333,0.13,0.0613,0.2,0.0943,1.0,0.4714,8.0
Cs1 In5 S8,3,0.0,0.0714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.5352,1.6,0.4409,3.0,1.0996,5.2000000000000002
In1 N1 Sc3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.8,1.68,0.6507,0.95,0.3755,3.0,0.9798,12.0
In4 La4 O12,3,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.2,0.0,2.34,1.0031,1.35,0.5774,6.0,2.4,6.0
In1 Tm1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,3.0,0.53,0.265,0.2,0.1,3.0,1.5,10.0
In8 Na14 O64 P18,4,0.0,0.1346,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.0,-1.3846,2.51,0.9303,1.2,0.4457,3.0,0.8427,6.0
Dy3 In3 Ir3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,3.0,0.98,0.4014,0.4,0.1633,3.0,1.2472,8.0
In2 Ni6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.25,0.13,0.0563,0.2,0.0866,1.0,0.433,12.0
Ce3 In3 Ni3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.6667,0.79,0.3459,0.5,0.2055,4.0,1.6997,8.0
Cu2 In1 Lu1,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,2.5,0.63,0.2601,0.4,0.1658,2.0,0.8292,10.0
C1 Er3 In1,3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,1.6,1.31,0.5144,1.05,0.4074,6.0,2.4,6.0
Er3 In3 Pt3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.6667,1.04,0.4247,0.4,0.1633,3.0,1.2472,8.0
In2 Rb2 Te4,3,0.0,0.25,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.28,0.5246,0.95,0.3945,0.0,0.0,5.0
In2 Ni21 P6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7241,1.0345,0.41,0.1224,0.55,0.1571,2.0,0.5068,9.0
In2 La2 Ni4,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.75,2.5,0.81,0.3362,0.6,0.2449,4.0,1.6394,8.0
In4 K1,2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.96,0.384,0.65,0.26,1.0,0.4,6.5
In1 Ni2 Sc1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.5,0.55,0.2257,0.25,0.1139,1.0,0.433,10.0
In4 Se4,2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.77,0.385,0.4,0.2,1.0,0.5,5.0
In2 Rb6 S6,3,0.0,0.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.8152,1.35,0.6265,2.0,0.9897,5.0
Bi6 In10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.24,0.1162,0.05,0.0242,1.0,0.4841,8.0
Cs12 In4 O12,3,0.0,0.4286,0.0,0.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65,1.2323,2.0,0.926,4.0,1.8844,4.0
Ag2 Er1 In1,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,2.0,0.69,0.2838,0.2,0.075,3.0,1.299,10.0
C2 In2 Zr4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.75,1.22,0.4984,0.85,0.3681,3.0,1.299,11.0
I24 In6 Rb6,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.6984,0.95,0.3472,0.0,0.0,4.0
Gd2 In2 Pt4,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,2.5,1.08,0.4451,0.45,0.185,3.0,1.0897,8.0
In4 Pr12 Se24,3,0.0,0.0,0.0,0.6,0.0,0.3,0.0,0.0,0.3,0.0,0.0,1.42,0.6412,0.7,0.317,4.0,1.7916,5.5
Cu2 Dy1 In1,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,2.5,0.68,0.2814,0.4,0.1658,4.0,1.6394,10.0
C1 In1 Pr3,3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,1.6,1.42,0.5625,1.15,0.4454,6.0,2.4,6.0
In4 O16 P4,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333,1.66,0.696,0.95,0.3556,3.0,1.1055,6.0
In2 Li3,2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.8,0.3919,0.1,0.049,3.0,1.4697,9.0
In1 Y1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.56,0.28,0.25,0.125,0.0,0.0,10.0
Ba2 Co8 In2 O14,4,0.0,0.0,0.0769,0.5385,0.0,0.0,0.0,0.0,0.0,0.3077,-0.0769,2.55,0.9027,1.55,0.4983,4.0,1.35,6.0
In8 O36 Te12,3,0.0,0.0,0.0,0.8571,0.0,0.0,0.2143,0.0,0.0,0.0,-1.2857,1.66,0.7096,0.95,0.4144,3.0,1.4375,5.0
C2 In2 V4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.25,0.92,0.3817,0.85,0.3209,3.0,1.0897,11.0
In2 Tm4,2,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.6667,0.0,3.0,0.53,0.2498,0.2,0.0943,3.0,1.4142,8.0
Br4 In4 Te4,3,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,1.18,0.4983,0.4,0.165,1.0,0.4714,4.0
In1 Nb1 Se2,3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.95,0.4347,0.4,0.1785,1.0,0.5,6.0
Cu4 In2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,2.3333,0.12,0.0566,0.2,0.0943,1.0,0.4714,8.0
In4 Pd2 Yb2,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,2.75,2.2,0.8489,0.35,0.1244,3.0,1.299,8.0
Ce3 In3 Ir3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,3.0,1.08,0.4445,0.5,0.2055,3.0,1.2472,8.0
In10 Sb9 Te1,3,0.0,0.0,0.0,0.05,0.0,0.0,0.5,0.0,0.0,0.0,0.05,0.32,0.1379,0.15,0.0536,0.0,0.0,6.0
In4 Na12 S12,3,0.0,0.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.7639,0.8,0.374,2.0,0.6999,5.0
In2 La4 Rh4,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.8,3.0,1.18,0.5289,0.6,0.2713,3.0,1.4697,9.0
In1 P1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.205,0.55,0.275,2.0,1.0,5.0
In2 Sm4,2,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.6667,0.0,3.0,0.61,0.2876,0.3,0.1414,3.0,1.4142,8.0
Br10 In2 Sn4,3,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,-1.25,1.18,0.5158,0.4,0.1639,1.0,0.4841,9.0
Ce4 In2 Pd4,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,2.6,1.08,0.4854,0.45,0.2035,3.0,1.4697,10.0
In2 O7 Si2,3,0.0,0.0,0.0,0.6364,0.0,0.0,0.1818,0.0,0.0,0.0,-1.4545,1.66,0.7705,0.95,0.3742,3.0,1.1355,5.0
In3 Rh2 Sr2,3,0.0,0.0,0.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,2.7143,1.33,0.5093,0.65,0.2533,0.0,0.0,7.666666666666667
Ho20 In40 Ni18,3,0.0,0.0,0.0,0.0,0.0,0.2564,0.0,0.0,0.2564,0.2308,2.7692,0.68,0.2629,0.4,0.1395,4.0,1.4995,8.4000000000000004
